,Unnamed: 0,Price,Address,Beds,Bathrooms,Square Footage,Property type
437,437,"$300,000","1199 E 53rd St APT 6X, Brooklyn, NY 11234",3 bds,2 ba,-- sqft,- Condo for sale
438,438,"$1,025,000","520 82nd St, Brooklyn, NY 11209",3 bds,3 ba,"2,340 sqft",- Multi-family home for sale
439,439,"$1,680,000","4838 Glenwood St, Little Neck, NY 11362",4 bds,4 ba,"4,000 sqft",- House for sale
440,440,"$1,275,000","803 Greene Ave, Brooklyn, NY 11221",7 bds,5 ba,"3,302 sqft",- Multi-family home for sale
441,441,"$1,038,888","5110 199th St, Flushing, NY 11365",3 bds,2 ba,"1,350 sqft",- House for sale
442,442,"$289,000","3039 Ocean Pkwy FLOOR 4 6, Brooklyn, NY 11235",1 bd,1 ba,850 sqft,- Condo for sale
443,443,"$249,500","155-09 86th St #4, Howard Beach, NY 11414",2 bds,1 ba,-- sqft,- Condo for sale
444,444,"$2,845,000","202 W 137th St, New York, NY 10030",5 bds,4 ba,"4,128 sqft",- Townhouse for sale
445,445,"$624,999","1311 Brightwater Ave APT 9K, Brooklyn, NY 11235",1 bd,1 ba,780 sqft,- Condo for sale
446,446,"$799,000","105 Jefferson Blvd, Staten Island, NY 10312",3 bds,2 ba,"1,861 sqft",- House for sale
447,447,"$1,295,000","759 President St APT 1A, Brooklyn, NY 11215",3 bds,2 ba,"1,215 sqft",- Condo for sale
448,448,"$549,888","1084 Gipson St, Far Rockaway, NY 11691",4 bds,3 ba,"1,818 sqft",- House for sale
449,449,"$749,000","660 Craig Ave, Staten Island, NY 10307",3 bds,3 ba,"1,596 sqft",- House for sale
450,450,"$335,000","83-75 117th St #11418-1B, Richmond Hill, NY 11418",1 bd,1 ba,573 sqft,- For sale by owner
451,451,"$835,000","21-18 150th St, Whitestone, NY 11357",3 bds,2 ba,"1,710 sqft",- Multi-family home for sale
452,452,"$775,000","93-33 207th St, Queens Village, NY 11428",3 bds,2 ba,"1,216 sqft",- House for sale
453,453,"$599,000","10017 Avenue N, Brooklyn, NY 11236",3 bds,3 ba,712 sqft,- House for sale
454,454,"$425,000","29 Carol Pl, Staten Island, NY 10303",2 bds,3 ba,"1,324 sqft",- House for sale
455,455,"$515,000","300 Ostend Pl, Far Rockaway, NY 11691",5 bds,3 ba,"1,158 sqft",- House for sale
456,456,"$4,500,000","350 E 82nd St APT 14A, New York, NY 10028",4 bds,4 ba,"2,800 sqft",- For sale by owner
457,457,"$145,000","944 E 178th St #A, Bronx, NY 10460",2 bds,1 ba,800 sqft,- Condo for sale
458,458,"$544,888","365 Colony Ave, Staten Island, NY 10306",3 bds,2 ba,"1,100 sqft",- House for sale
459,459,"$775,000","303 E 57th St APT 40G, New York, NY 10022",3 bds,4 ba,"3,500 sqft",- Condo for sale
460,460,"$699,000","159-13 98th St, Howard Beach, NY 11414",3 bds,3 ba,"1,360 sqft",- House for sale
461,461,"$875,000","403 Father Capodanno Blvd, Staten Island, NY 10305",5 bds,2 ba,"2,240 sqft",- Multi-family home for sale
462,462,"$425,000","303 E 57th St APT 32A, New York, NY 10022",2 bds,3 ba,"3,000 sqft",- Condo for sale
