,Address,Beds,Bathrooms,Square Footage,Property type
170,"82-16 34th Ave #3, Jackson Heights, NY 11372",1 bd,1 ba,600 sqft,- Condo for sale
171,"114-50 174th St, Jamaica, NY 11434",6 bds,5 ba,-- sqft,- New construction
172,"641 Thieriot Ave, Bronx, NY 10473",4 bds,2 ba,"2,480 sqft",- House for sale
173,"39 Rokeby Pl, Staten Island, NY 10310",3 bds,2 ba,"1,729 sqft",- House for sale
174,"47 Columbia Pl, Brooklyn, NY 11201",4 bds,4 ba,"3,716 sqft",- House for sale
175,"163 E 64th St, New York, NY 10065",5 bds,7 ba,"8,000 sqft",- House for sale
176,"16 Swinnerton St, Staten Island, NY 10307",3 bds,3 ba,"1,397 sqft",- House for sale
177,"333 E 91st St #28CD, New York, NY 10128",4 bds,5 ba,"2,952 sqft",- Apartment for sale
178,"5 Stratford Rd APT 2, Brooklyn, NY 11218",3 bds,1 ba,"1,200 sqft",- Condo for sale
179,"10218 Russell St, Jamaica, NY 11414",2 bds,2 ba,-- sqft,- House for sale
180,"9807 Avenue L, Brooklyn, NY 11236",4 bds,3 ba,"1,400 sqft",- House for sale
181,"107-51 Springfield Blvd, Queens Village, NY 11429",4 bds,3 ba,-- sqft,- House for sale
182,"147 Edgewater Park #147D, Bronx, NY 10465",2 bds,1 ba,-- sqft,- Condo for sale
183,"5212 Avenue M, Brooklyn, NY 11234",3 bds,4 ba,378 sqft,- House for sale
184,"312 Greene Ave, Brooklyn, NY 11238",5 bds,5 ba,"3,368 sqft",- Multi-family home for sale
185,"1200 Woodycrest Ave APT 4A, Bronx, NY 10452",Studio,1 ba,550 sqft,- Apartment for sale
186,"3845 Shore Pkwy APT 1M, Brooklyn, NY 11235",1 bd,1 ba,550 sqft,- Foreclosure
187,"73 W Washington Pl, New York, NY 10011",6 bds,9 ba,"8,643 sqft",- Townhouse for sale
188,"295 Skyline Dr #C, Staten Island, NY 10304",3 bds,2 ba,"1,347 sqft",- Condo for sale
189,"43-20 219th St, Bayside, NY 11361",3 bds,2 ba,-- sqft,- House for sale
190,"214-01 112th Rd, Queens Village, NY 11429",3 bds,3 ba,"1,524 sqft",- House for sale
191,"312 W 71st St, New York, NY 10023",6 bds,7 ba,"5,115 sqft",- Townhouse for sale
192,"522 W 29th St, New York, NY 10001",5 bds,6 ba,"4,510 sqft",- Condo for sale
193,"112-30 Northern Blvd APT 2E, Corona, NY 11368",1 bd,1 ba,-- sqft,- Condo for sale
194,"140-39 34th Ave SUITE 6K, Flushing, NY 11354",3 bds,2 ba,"1,200 sqft",- Condo for sale
195,"345 W Broadway #LOFT5, New York, NY 10013",3 bds,3 ba,"2,200 sqft",- Condo for sale
196,"350 150th St, Flushing, NY 11357",4 bds,5 ba,"2,754 sqft",- House for sale
197,"3395 Nostrand Ave APT 3, Brooklyn, NY 11229",2 bds,2 ba,"1,000 sqft",- Condo for sale
198,"188-72 85th Rd, Hollis, NY 11423",4 bds,3 ba,"2,150 sqft",- House for sale
199,"11560 198th St, Jamaica, NY 11412",5 bds,3 ba,"1,730 sqft",- House for sale
200,"1777 Madison Ave #33, New York, NY 10035",1 bd,1 ba,-- sqft,- Condo for sale
